key,value,date
GE,0,1452654000000
GE,0,1452654060000
GE,0,1452654120000
GE,0,1452654180000
GE,0,1452654240000
GE,0,1452654300000
MW,18,1452650760000
MW,20,1452650820000
MW,17,1452650880000
MW,15,1452650940000
MW,11,1452651000000
MW,14,1452651060000
MW,100,1452651120000
MW,52,1452651180000
MW,25,1452651240000
MW,19,1452651300000
MW,20,1452651360000
MW,17,1452651420000
MW,16,1452651480000
MW,16,1452651540000
MW,21,1452651600000
MW,19,1452651660000
MW,22,1452651720000
MW,17,1452651780000
MW,14,1452651840000
MW,15,1452651900000
MW,15,1452651960000
MW,16,1452652020000
MW,19,1452652080000
MW,21,1452652140000
MW,17,1452652200000
MW,12,1452652260000
MW,16,1452652320000
MW,14,1452652380000
MW,15,1452652440000
MW,12,1452652500000
MW,18,1452652560000
MW,16,1452652620000
MW,17,1452652680000
MW,15,1452652740000
MW,16,1452652800000
MW,14,1452652860000
MW,14,1452652920000
MW,11,1452652980000
MW,14,1452653040000
MW,14,1452653100000
MW,13,1452653160000
MW,13,1452653220000
MW,20,1452653280000
MW,18,1452653340000
MW,16,1452653400000
MW,11,1452653460000
MW,12,1452653520000
MW,9,1452653580000
MW,13,1452653640000
MW,10,1452653700000
MW,10,1452653760000
MW,15,1452653820000
MW,15,1452653880000
MW,16,1452653940000
MW,15,1452654000000
MW,11,1452654060000
MW,15,1452654120000
MW,12,1452654180000
MW,14,1452654240000
MW,11,1452654300000
EC,21,1452650760000
EC,18,1452650820000
EC,17,1452650880000
EC,17,1452650940000
EC,14,1452651000000
EC,12,1452651060000
EC,22,1452651120000
EC,21,1452651180000
EC,17,1452651240000
EC,19,1452651300000
EC,23,1452651360000
EC,18,1452651420000
EC,23,1452651480000
EC,85,1452651540000
EC,62,1452651600000
EC,41,1452651660000
EC,25,1452651720000
EC,22,1452651780000
EC,18,1452651840000
EC,17,1452651900000
EC,23,1452651960000
EC,16,1452652020000
EC,16,1452652080000
EC,19,1452652140000
EC,15,1452652200000
EC,19,1452652260000
EC,22,1452652320000
EC,16,1452652380000
EC,23,1452652440000
EC,19,1452652500000
EC,15,1452652560000
EC,14,1452652620000
EC,18,1452652680000
EC,21,1452652740000
EC,21,1452652800000
EC,23,1452652860000
EC,17,1452652920000
EC,15,1452652980000
EC,15,1452653040000
EC,20,1452653100000
EC,13,1452653160000
EC,19,1452653220000
EC,13,1452653280000
EC,15,1452653340000
EC,17,1452653400000
EC,20,1452653460000
EC,12,1452653520000
EC,18,1452653580000
EC,17,1452653640000
EC,15,1452653700000
EC,14,1452653760000
EC,15,1452653820000
EC,18,1452653880000
EC,14,1452653940000
EC,13,1452654000000
EC,19,1452654060000
EC,16,1452654120000
EC,19,1452654180000
EC,14,1452654240000
EC,12,1452654300000
TE,6,1452650760000
TE,13,1452650820000
TE,9,1452650880000
TE,8,1452650940000
TE,6,1452651000000
TE,7,1452651060000
TE,7,1452651120000
TE,9,1452651180000
TE,6,1452651240000
TE,10,1452651300000
TE,6,1452651360000
TE,8,1452651420000
TE,5,1452651480000
TE,8,1452651540000
TE,6,1452651600000
TE,6,1452651660000
TE,6,1452651720000
TE,8,1452651780000
TE,6,1452651840000
TE,8,1452651900000
TE,6,1452651960000
TE,7,1452652020000
TE,7,1452652080000
TE,12,1452652140000
TE,11,1452652200000
TE,6,1452652260000
TE,10,1452652320000
TE,5,1452652380000
TE,7,1452652440000
TE,8,1452652500000
TE,9,1452652560000
TE,10,1452652620000
TE,11,1452652680000
TE,7,1452652740000
TE,9,1452652800000
TE,13,1452652860000
TE,15,1452652920000
TE,18,1452652980000
TE,19,1452653040000
TE,17,1452653100000
TE,24,1452653160000
TE,16,1452653220000
TE,11,1452653280000
TE,12,1452653340000
TE,17,1452653400000
TE,9,1452653460000
TE,7,1452653520000
TE,11,1452653580000
TE,11,1452653640000
TE,8,1452653700000
TE,7,1452653760000
TE,11,1452653820000
TE,9,1452653880000
TE,9,1452653940000
TE,8,1452654000000
TE,10,1452654060000
TE,7,1452654120000
TE,11,1452654180000
TE,7,1452654240000
TE,10,1452654300000
CC,2,1452650760000
CC,5,1452650820000
CC,4,1452650880000
CC,3,1452650940000
CC,4,1452651000000
CC,4,1452651060000
CC,3,1452651120000
CC,4,1452651180000
CC,5,1452651240000
CC,8,1452651300000
CC,5,1452651360000
CC,4,1452651420000
CC,20,1452651480000
CC,7,1452651540000
CC,8,1452651600000
CC,8,1452651660000
CC,5,1452651720000
CC,7,1452651780000
CC,6,1452651840000
CC,6,1452651900000
CC,4,1452651960000
CC,6,1452652020000
CC,6,1452652080000
CC,6,1452652140000
CC,6,1452652200000
CC,10,1452652260000
CC,6,1452652320000
CC,6,1452652380000
CC,35,1452652440000
CC,54,1452652500000
CC,22,1452652560000
CC,17,1452652620000
CC,19,1452652680000
CC,10,1452652740000
CC,7,1452652800000
CC,8,1452652860000
CC,5,1452652920000
CC,6,1452652980000
CC,5,1452653040000
CC,6,1452653100000
CC,7,1452653160000
CC,6,1452653220000
CC,6,1452653280000
CC,4,1452653340000
CC,5,1452653400000
CC,6,1452653460000
CC,4,1452653520000
CC,7,1452653580000
CC,6,1452653640000
CC,5,1452653700000
CC,9,1452653760000
CC,5,1452653820000
CC,3,1452653880000
CC,3,1452653940000
CC,3,1452654000000
CC,4,1452654060000
CC,4,1452654120000
CC,6,1452654180000
CC,7,1452654240000
CC,3,1452654300000
